"","calBP","JanPrecip","FebPrecip","MarPrecip","AprPrecip","MayPrecip","JunPrecip","JulPrecip","AugPrecip","SepPrecip","OctPrecip","NovPrecip","DecPrecip","JanTmin","FebTmin","MarTmin","AprTmin","MayTmin","JunTmin","JulTmin","AugTmin","SepTmin","OctTmin","NovTmin","DecTmin","JanTmax","FebTmax","MarTmax","AprTmax","MayTmax","JunTmax","JulTmax","AugTmax","SepTmax","OctTmax","NovTmax","DecTmax","MoAvgPrecip","MoAvgTmin","MoAvgTmax"
"X.500",5000,31.4595634220728,35.4797821097035,40.7726783179195,37.3868858462474,33.3131152788798,21.7065577549361,17.6568309166392,17.3196724373135,17.2409839161107,21.4666670619464,23.220218879929,28.3677601162853,-9.90409815650372,-8.16830579431656,-6.0134971567679,-2.7894534846269,2.10666661955864,6.75770477649293,11.5216937175865,10.6729505785176,6.08661185164269,0.684754087452273,-4.82896164843375,-8.79530033587269,4.6072676550658,5.84721297408388,7.9696172752667,12.2042073408763,18.4436061577719,25.7542070899505,32.1689611028452,31.3205457802027,26.0646987977575,18.9084149240796,10.9419669831385,5.97087418735842,27.1158930048319,-0.222436245439238,16.6834650223664
"X.499",4990,37.320765630795,38.8032794754362,40.7398913597149,35.0546454549487,29.7912573840449,18.7273226793998,15.690164186264,16.8726778851181,18.8601096132414,25.8907108280828,29.3535525212522,35.5344269601374,-8.51158447362116,-6.88825122500093,-5.26442609987949,-2.51814203082375,2.16601088786589,6.82475395183094,11.5076499949388,10.4120215939694,5.56836053615059,0.286557381066794,-4.65754087681531,-7.84245885240901,5.68846981667104,6.93950806289423,8.81158451564976,12.8366663534133,19.0283602469606,26.3945896273754,32.7253544395739,31.6024582346932,26.0190158698077,18.8095077295772,11.1536063222937,6.70579220558125,28.5532336648696,0.0902458989393909,17.2262427853743
"X.498",4980,37.4912576102168,37.9371592308003,34.9103829795546,30.4431698986741,32.2989077607139,28.4005469699375,25.3885250495431,21.3163937975149,16.1273226295013,17.303825440954,19.8065576996308,30.149180902158,-8.32284133987186,-6.6278686964976,-4.96415291620734,-2.28398903142763,2.22136606949845,6.65426217003272,11.1963385265382,10.102677420596,5.3792894979318,0.236393434652051,-4.60169389986438,-7.72136598320607,5.32005450227221,6.73622933046414,9.01825116762047,13.1559560090466,19.000873956524,25.7778682500287,31.877758849514,31.0749719755246,26.1485240706981,19.3111470592478,11.5177592931549,6.59142059177323,27.6311024974333,0.105701271014522,17.1275679213224
"X.497",4970,40.8857930501302,37.4382519435361,30.6306016171565,24.5355195999146,24.1103828591727,19.4524592894023,17.5726779823095,16.9595631328437,15.210382813313,18.4453555365078,22.5918035898052,34.7606562682188,-8.1273768604046,-6.24672117593184,-4.18677585339937,-1.34054643339147,2.95699447298758,6.96109274599721,11.3069396572686,10.3978139911193,6.09530040686899,1.15748631962336,-3.84371575827156,-7.35152988577557,5.49377036876366,7.24152990132367,10.0896172670067,14.5574313591087,20.3192891188658,26.7183054731192,32.5563926279871,31.7648079981569,27.0246441637883,20.2001087574359,12.1475406709265,6.84530038382512,25.2161206401925,0.648246802224223,17.9132281741923
"X.496",4960,41.0071044411164,40.8218586509996,38.9775963559177,33.3147547049601,30.7256836200672,21.7207653844943,18.9349730040858,19.0721315034752,19.2404374789671,24.6650276288309,28.1901644070943,37.1928967022505,-7.77448068980555,-6.18912553836088,-4.67715837639538,-2.11355185591173,2.35043710171973,6.81475394410514,11.4227319623603,10.4038249052287,5.75715835192979,0.696010915979824,-4.06606546874906,-7.14076486201397,6.22874303398237,7.49103808223876,9.34595611382052,13.2793985924434,19.3091799261791,26.4992890696708,32.7474310515357,31.6745895218979,26.2424584268872,19.1859558553644,11.631256586867,7.22491787642729,29.4886161568549,0.456980865840581,17.5716845114429
"X.495",4950,43.5568314693013,42.3918039759652,39.5103832098956,33.0830607544529,31.8491809355105,24.5737709849259,21.2519129625435,21.3672134628713,20.8366123548622,26.2245905985598,30.815301139498,40.5377056090558,-9.22092872491626,-7.19732221101965,-4.83879770794527,-1.81672126500577,2.43071032537381,6.23224029026396,10.4699451166098,9.63442600188685,5.50743158576918,0.609398895436949,-4.55759552658581,-8.33693971301689,4.96551899616021,6.6143167921917,9.34885225172251,13.6989614559653,19.3603273975393,25.7069940202223,31.5831140403539,30.9191249367969,26.3584693533475,19.6808192508468,11.6987974773991,6.38469930685283,31.3331972881202,-0.090346077762422,17.1933329399499
"X.494",4940,36.1939896547078,38.5010936351422,38.0431699544354,31.5961754934384,27.1956288045873,17.7377052320157,14.4371587383291,14.6579237218763,14.9475412134264,19.6934430273504,23.1868856695832,31.330055122167,-8.59852440732587,-6.94677581122053,-5.10814195993494,-2.23491799554538,2.39142071042474,6.88803267413801,11.5618576469317,10.68043692125,6.15568292425956,0.98901637736199,-4.13907094275365,-7.6954642912892,5.17672122073426,6.59131133287656,9.05300527713338,13.4121854709146,19.4398356422049,26.3441523984482,32.5596167871861,31.8556276227607,26.9634420050949,20.0028956679047,11.9286335999848,6.66016379833384,25.6267308555883,0.328629320524701,17.4989659019647
"X.493",4930,31.2530059553886,36.8863394221321,43.7120225260167,40.8256836823427,34.7967219170325,20.600546831316,15.3377051809446,14.6202188371961,14.8934429017572,19.037705270319,21.001639624111,26.7092901057884,-8.83803259145692,-6.64415286921087,-4.23595619722794,-1.11617484016985,3.31393434354638,7.27918015778716,11.4245352842769,10.1992347575928,5.54174852990062,0.32639343367859,-4.80398896633764,-8.26568289984608,5.50983596401788,7.12896157092735,9.55355169278025,13.7690161460084,19.6180323668516,26.314753506353,32.2347532282762,31.1806004112536,26.0070486433519,19.0450814669249,11.2946992181038,6.55349713238211,26.6395268545288,0.348419845211091,17.3508192789359
"X.492",4920,49.5338806298261,46.7885254302311,39.169946013904,32.7814214268669,34.7650279412504,30.6218584284105,28.4775961344359,26.1103829686108,21.195082317936,23.4060113586363,27.0666670512632,41.268853218829,-6.86939878763804,-5.30382503683124,-4.08808733563606,-1.85786881057617,2.35841523748034,6.67765014386568,11.1433331100016,9.97480854278054,5.25131134949421,0.354863378733315,-3.9908195769852,-6.54857908282938,6.47983594218401,7.88355171932874,9.89267738285612,13.7630052410188,19.4687974283604,26.2108736715682,32.2098352296756,31.205463847176,26.083824532931,19.300983210079,11.8590161461648,7.43683045288253,33.4321044100167,0.591816927654964,17.6495579003521
"X.491",4910,42.6994541772728,44.8032794389568,43.8398912825871,36.5306017932996,31.2295088038418,19.9289620603369,16.2601095587829,16.3480876990355,17.0737708123004,22.7404375050237,26.7584703737269,36.7442628464412,-8.70896152288862,-6.75054630747095,-4.65262284927844,-1.72661198539242,2.70273216897266,6.82994521006209,11.1565570948554,10.0591254335284,5.47530042522592,0.347322384699609,-4.67546436538706,-8.06262278634179,5.27152993024169,6.7927867373645,9.17125662949567,13.4984149646238,19.6231143200984,26.6616386976398,32.7883053763968,31.7244255607897,26.3593982425544,19.1760650645188,11.2584696610769,6.41404358350514,29.5797363626338,0.166179408382061,17.3949540640255
"X.490",4900,34.2081973435449,34.0579241090785,32.2617491477174,27.2710386547235,25.4377054256168,18.2437161578507,14.8639346211334,15.1163936938093,15.4114756453884,19.7442625832688,22.5896179376404,30.4245906944483,-8.94207625840205,-6.9930052786068,-4.9542621730781,-1.93021853185702,2.79300539559924,7.27704902359697,11.7231144761779,10.4149724017075,5.40513650258708,-0.0419672102631767,-5.13715837667874,-8.39650255954656,5.39120207042968,7.06169384913366,9.5113659432677,13.8021854911346,19.7865569109474,26.6180321636096,32.5457916468219,31.341146792219,25.9238245604468,18.786830177724,11.0006554634845,6.34322391393406,24.1358838345184,0.101507284269687,17.3427090819294
"X.489",4890,41.3841536683463,39.6169406182128,37.872678105297,33.2174869573833,32.0289623489797,23.7989074721362,20.6355196296192,21.8147544522103,22.6732244517634,28.7377052671922,31.5726781282269,39.7103833787428,-7.88469926976278,-5.929890567162,-4.06234961454986,-1.49191253164101,2.54983599710945,6.34234955060026,10.4651910291343,9.34049155848111,4.9158468715073,0.110819665226536,-4.4915299672898,-7.47366104763551,5.43087420535218,7.12065558371648,9.67065548375656,13.8325133297613,19.3985788991542,25.7152453459026,31.4700540323726,30.5721305055045,25.7717480164408,19.0893984831096,11.3950270538122,6.53612008939187,31.0886162065092,0.199207639501503,17.1669167523562
"X.488",4880,39.0852466645788,38.0704923848637,34.4163941294769,29.763388547741,30.6857928226554,25.2928966537851,22.0136615331056,20.7316943231176,18.0967216309303,20.8355194532155,23.6404374727135,33.702186511514,-7.92540964144257,-5.97693976010781,-4.04469934741005,-1.31486336260912,2.95606551287808,6.97901623040601,11.2167757046027,10.04710357453,5.4442075279241,0.429672121380766,-4.35109279992802,-7.4513659464918,5.84322391222409,7.52770477240203,10.02426207489,14.2083057054405,19.9018028186319,26.3852452554338,32.1879773061784,31.1703817544739,26.1490157705839,19.3193437909819,11.6233330919443,6.87142061364781,28.0278693439748,0.500705817811028,17.6010014055694
"X.487",4870,28.1038256629569,31.0459021896612,35.2142081495191,32.9967219165114,30.2191262336377,19.9278691707413,15.7852461246845,15.3901642007255,15.277049419007,18.7825139689315,20.15792383392,25.0262299495968,-9.97830576372277,-7.69322388810538,-4.87207641008773,-1.34508192761104,3.32142068661464,7.36114736968051,11.5966117525361,10.517048944541,5.96513649357147,0.579945351989543,-5.02300534873712,-9.07923479227583,4.18699445133734,6.14732226680537,9.29710360433235,14.0607100523235,20.0402181708748,26.5276496866362,32.2963380136125,31.2906550944177,26.2486879317487,19.1279776005146,10.8578139295995,5.46896163130922,23.9938984016577,0.112531872366119,17.1292027027926
"X.486",4860,39.1289624698827,41.9568312389603,43.5644815267761,38.7491809865816,34.6786891046118,22.3092900035811,17.8196724829127,17.933880086805,18.4912571203513,23.7519130029314,26.6393447599776,34.5950825592208,-9.14136591407119,-7.18950801396671,-4.81120208219264,-1.63136608674715,2.8954644213568,7.00868836940963,11.4404368928221,10.6136609589467,6.3287430262305,1.20939887260072,-4.17273214752557,-8.12601075306168,4.689016283047,5.98546434800482,8.36961728692706,12.7295625522488,18.8431689413519,25.8918573660929,32.2499447181577,31.6467752404552,26.7955732085014,19.817376637068,11.6738795660884,6.29841515438153,29.968215445216,0.368683961983465,17.0825542751937
"X.485",4850,38.6114760852251,37.8469953432761,37.0759570377121,32.2961754460152,29.3027326161744,19.6262298542294,16.7792353161046,18.6005467534717,21.4420768550185,29.5065577486174,32.3065578846332,37.9262300762322,-9.12765007087442,-6.93726760263,-4.56273215064586,-1.46666663148201,2.96409829850487,6.94628402020762,11.0898357760059,9.83573747397772,5.13907092288544,-0.0856284083482998,-5.18398896608848,-8.58967196210567,4.99016382069902,6.89305995298865,9.64027301177301,14.1115297150742,20.0848629435555,26.7481961276362,32.4909281183462,31.158633174792,25.6713108834022,18.4570487340291,10.5785243491657,5.86163922338212,29.2767309180592,0.00178505828390362,17.2238475045703
"X.484",4840,41.446448842033,43.0196727012676,40.4912575320468,33.627869426227,29.7448092106262,19.4639347270538,15.5912571096681,15.3863390456132,15.3896177583705,19.9841533528,23.9311478776359,34.5590170250564,-7.62939872499046,-5.77606544696568,-3.96054634728718,-1.21792346772438,3.23049172127996,7.51404355828716,11.9012018956773,10.6943713550359,5.91715837272057,0.756120209271709,-4.06890701140211,-7.13819655780095,5.8771036926433,7.39207632817287,9.74431670949759,14.0621308186015,20.2056279469058,27.2769939756133,33.4119664801926,32.3212013661536,26.9088518215659,19.7024039648921,11.7997265357137,6.99513643491464,27.7196270506999,0.85186246300849,17.9747946729056
"X.483",4830,35.0109294151348,33.1721316999425,29.835519636915,25.642623338543,26.0907107533002,20.8103828798226,19.0196724302782,19.0595631990276,17.3825139321916,20.5715850676344,23.3901643466428,31.779781998181,-6.86256813312896,-5.32420754729887,-4.03366109614815,-1.62300542959831,2.84688519087971,7.42114738045169,12.035027028433,10.8609833326496,5.98983592934947,0.880109263421164,-3.68612014054438,-6.42568291950706,6.3167757966805,7.783988913226,10.0716391371899,14.216393111182,20.0838792884285,26.8791797408641,32.9365019459542,32.0237152433135,26.9638245275112,20.0604367386448,12.3031144676313,7.48710365471293,25.1471315581345,1.00656190491324,18.0938793804449
"X.482",4820,45.0508204861417,43.8579242581227,38.7459023324518,30.5972682895556,26.3071042787833,17.4459019687658,14.722951113852,15.2032789819228,16.0743172233873,22.0180330875793,27.2513666205067,39.1601100775713,-8.14628393384195,-6.28147528764329,-4.41092886755375,-1.66431690292443,2.71278682202508,6.89065557343712,11.2457921127153,10.1131144957464,5.4730053375185,0.396010915458691,-4.44546438983636,-7.60076487182431,5.4676501402438,7.06513645479588,9.48606535417786,13.7761745817674,19.781912120965,26.659289073423,32.6651905143196,31.5615292741953,26.2357917327047,19.127321879069,11.2913658892522,6.52612009196659,28.0362482265534,0.356844250273082,17.47029559224
"X.481",4810,40.6054651124881,40.7918039228095,38.4836073234433,31.4475414922329,26.9601098331597,17.8114756945052,13.8584701923725,14.2595631229421,15.2360659140707,20.7978145841692,25.2972681795964,35.4530060356432,-8.36524568355637,-6.50327854167894,-4.7229507186048,-1.97721305167903,2.53650267207435,6.90836048679925,11.3046445384052,10.0027320293781,5.07213105347842,-0.177267758165552,-4.98278677839114,-7.95060090614798,5.44759550694722,6.94469928741455,9.24584678678565,13.4953548738865,19.5708738545902,26.5890703982994,32.7042615400637,31.6295074504581,26.2669939864529,19.1279230326251,11.2942619910006,6.54349711984192,26.7501826172861,0.0954189451592883,17.4049904856972
