"","calBP","JanPrecip","FebPrecip","MarPrecip","AprPrecip","MayPrecip","JunPrecip","JulPrecip","AugPrecip","SepPrecip","OctPrecip","NovPrecip","DecPrecip","JanTmin","FebTmin","MarTmin","AprTmin","MayTmin","JunTmin","JulTmin","AugTmin","SepTmin","OctTmin","NovTmin","DecTmin","JanTmax","FebTmax","MarTmax","AprTmax","MayTmax","JunTmax","JulTmax","AugTmax","SepTmax","OctTmax","NovTmax","DecTmax","MoAvgPrecip","MoAvgTmin","MoAvgTmax"
"X.490",4900,27.204800453186,26.2568003463745,32.1352005386353,30.2264005584717,28.3904004974365,19.7248003997803,27.3712005004883,31.8208005905151,27.3352006072998,27.1448003234863,20.1432002868652,23.9192004394531,-14.3975196304321,-12.2738397598267,-8.94759978675842,-4.1921599189043,1.13623996204138,5.63375987386704,10.2896797618866,9.52623979568481,4.70623989486694,-1.09935997539759,-7.66991981887817,-12.6460797424316,0.723119982659817,2.7566399526149,5.7368798519969,10.9111197929382,17.7026395797729,25.0069594116211,29.6482394104004,28.4637592773438,23.5943994064331,16.6975196075439,8.21927981591225,2.38799995209277,26.8060671284994,-2.49452661202351,14.3207130034442
"X.489",4890,29.4472003097534,28.4200006103516,36.1112006149292,35.3224005050659,34.2112003936768,24.1152004051208,34.2024004669189,41.1552007446289,36.5200006256104,35.5968005981445,24.804000213623,27.2800004806519,-13.5367197608948,-11.3929597854614,-8.31895981884003,-4.08623990127444,0.548399991363287,4.374159907341,8.67023978066444,7.97679981791973,3.6068799084425,-1.58591995230317,-7.55271983528137,-12.0556797218323,0.566399990811944,2.56759995596111,5.50215986192226,10.4619196987152,16.8643995513916,23.755519493103,28.259919418335,27.3086393127441,22.9273595504761,16.4452795944214,8.1556797952652,2.29519994542003,32.2654671640396,-2.77939328084638,13.7591730140472
"X.488",4880,30.4728005752563,29.6528005142212,36.5160007095337,35.5520004119873,36.2016005706787,27.7280004920959,38.5536005249023,42.6960007324219,33.4536005401611,30.4696006011963,21.8520003433228,26.3344004592896,-13.4023197441101,-11.2556797599792,-8.16543982791901,-3.93895990385115,0.654879999384284,4.42783991095424,8.70791979598999,8.04831980025768,3.74535990956426,-1.40271997286379,-7.36695983695984,-11.9012797355652,0.919839984714985,2.88055994983017,5.76015989840031,10.6704797210693,17.0430396575928,23.9285595169067,28.4513594207764,27.5362393798828,23.2017595062256,16.7656795806885,8.50943978452682,2.66287994679809,32.4568672062556,-2.65408661375816,14.0274996956177
"X.487",4870,25.0128003387451,24.9912005157471,32.5208005523682,31.9256006546021,30.964000617981,21.637600315094,30.4096006011963,34.7360005950928,29.1448006134033,27.6488004608154,19.468800239563,22.2216004180908,-15.673919631958,-13.126239730835,-9.02543980026245,-3.78519989603758,1.49039998336136,5.5414398829937,9.89479980373383,9.17079976034164,4.59599989938736,-1.2297599786669,-8.21063983345032,-13.7619197654724,-0.652079983070493,1.75367997202277,5.44775988264382,11.1236797523499,17.971919593811,24.9855194244385,29.4115193328857,28.2423193206787,23.51303956604,16.5018396453857,7.57927985264361,1.18559996803105,27.5568004935582,-2.84330660890539,13.922006360655
"X.486",4860,31.9312005157471,30.3536005020142,36.0288005981445,33.4840005569458,32.2960005569458,23.4024004211426,33.7680006484985,38.7904006195068,32.1320006408691,31.0312005310059,23.0816004638672,27.9968006591797,-14.6523196563721,-12.6248796424866,-9.21079977798462,-4.47047990334034,0.662079972714186,4.91031990176439,9.60399979232252,9.24087977027893,5.00047987258434,-0.486159981012344,-7.16367985534668,-12.5599197120666,-0.31328000664711,1.51855997079611,4.64423988032341,9.9693597984314,16.7864796295166,24.0787994308472,28.9712792816162,28.3366393737793,24.0881595001221,17.3886395797729,8.53671982765198,1.95087995246053,31.1913338928223,-2.64587326824541,13.8297063515559
"X.485",4850,30.2912004928589,27.8456005096436,32.6504004058838,30.169600479126,29.1216005401611,21.3832002754211,31.4880004730225,38.090400680542,33.5176004638672,33.3352005462647,24.2976004104614,27.9448005447388,-14.7962397232056,-12.3216796798706,-8.57663981628418,-3.69871993219852,1.34519996868074,5.30007987511158,9.55991980862617,8.7187198060751,4.08031991922855,-1.57319996500015,-8.13295981788635,-13.1683997154236,0.067600003361702,2.46159994639456,5.90679986259341,11.289759759903,17.9078396606445,24.7721595001221,29.0633592529297,27.7723193511963,22.9972794189453,16.1459196166992,7.58727985429764,1.63647994956374,30.0112671518326,-2.77196660601223,13.9673663480543
"X.484",4840,29.8752005310059,30.6304004745483,40.2440007629395,38.7088006362915,35.1400004730225,22.7432003974915,29.776800567627,33.8456005401611,29.4960006561279,29.4112004547119,21.6704004020691,25.6880003890991,-13.5954397010803,-11.4349597702026,-8.19623980808258,-3.57015992596746,1.63247996628284,6.02239988088608,10.5705597867966,9.70855977725983,4.83855989861488,-0.899519988596439,-7.28151988220215,-12.0145596885681,1.01471997615695,2.90071995162964,5.66303990079463,10.8359197750092,17.9135995559692,25.6523193969727,30.5211192932129,29.2281593780518,24.0151994247437,16.8640796508789,8.35519980430603,2.6514399343133,30.6024671904246,-2.01831995457162,14.6346263368366
"X.483",4830,28.4648004989624,25.5776004486084,28.0112005767822,26.3384004211426,29.0920005493164,26.0736004905701,39.7304008026123,43.3520007781982,30.6072004547119,26.3952005157471,19.3008003845215,24.5984005126953,-12.5611197471619,-10.7687997951508,-8.10703980445862,-3.93967988622189,1.08407998281717,5.56607986980677,10.3038397798538,9.64031978988647,4.97279990109801,-0.476159997433424,-6.50887983703613,-10.960239780426,1.32983998994529,3.33967990726233,6.38895986154675,11.4118397464752,17.7743196182251,24.5679993896484,29.0706392974854,28.25183934021,24.0660796432495,17.6611996688843,9.27175979423523,3.19791993886232,28.9618005361557,-1.81289996036887,14.6943396830025
"X.482",4820,32.8464004974365,31.3376006011963,36.3912007675171,32.7096003570557,30.3128005065918,21.1320004272461,30.6216006393433,34.5048005447388,28.3056004638672,27.9928004608154,21.7744002914429,27.7824005050659,-13.6124797592163,-11.5987997894287,-8.56295980262756,-4.11279991576076,0.991759990856051,5.37703988352418,9.99431973934174,9.25447979402542,4.53383992743492,-1.05183998467028,-7.31207984542847,-11.9867197303772,0.704559976994991,2.70103994336724,5.64975986039638,10.78551978302,17.5328795776367,24.8053594512939,29.4619193267822,28.343919342041,23.5683195571899,16.7374396591187,8.27543981075287,2.41327995538712,29.6426005051931,-2.34051995769391,14.2482863536651
"X.481",4810,29.2112006378174,28.9856004257202,36.9008006210327,35.8624006271362,34.376800491333,24.0360004234314,32.1200005950928,36.6320007324219,31.0784006347656,30.0584005584717,21.7408003234863,25.5248003616333,-13.8244796676636,-11.7823997344971,-8.8539197845459,-4.48063991296291,0.639359994828701,5.08535989391804,9.65775975370407,8.73471981871128,3.78007992143929,-1.88431996920705,-8.00423981666565,-12.3983997192383,0.719439980477095,2.51951994235814,5.1315998712182,10.1262397527695,17.0391196670532,24.6681594848633,29.5271993865967,28.3347994232178,23.3020794525146,16.3419195861816,7.98439981842041,2.36063994422555,30.5439338693619,-2.77759326851492,14.0045930258247
"X.480",4800,29.7392005767822,25.8888004455566,27.8232004394531,25.2912005004883,26.6472005615234,22.8360004348755,37.100000579834,43.1088006286621,33.0984004058838,30.0216006164551,21.9656003646851,26.8904004440308,-14.5812796020508,-12.5440797157288,-9.29231982040405,-4.56959989202023,0.778799982726574,5.34095985144377,10.0801597259045,9.3955998005867,4.63263990449905,-1.14711997625232,-7.73031980895996,-12.754639705658,0.223279991984367,2.30047995367646,5.41327987100184,10.5746397304535,17.1438396377563,24.1351994781494,28.6671193695068,27.6669593353271,23.167679397583,16.5125596389771,8.02807984256744,2.00663997022808,29.2008671665192,-2.69926660465946,13.8199796847676
"X.479",4790,27.2248004150391,28.5704004440308,40.6904008331299,41.3880011138916,37.3208005752563,22.7936004066467,30.8216004562378,36.2792005996704,33.356000579834,33.4776004333496,23.0800004425049,24.6536004180908,-13.3399196929932,-11.1807997550964,-8.22335980033874,-4.0122399083823,0.760799969539046,4.79071989674866,9.10303980910778,8.17247982175648,3.43111993205547,-1.96103996640444,-7.84367979812622,-12.0640797576904,1.22319995486736,3.17015993604064,5.78823986184597,10.6071197795868,17.1852796325684,24.4174395294189,28.9868792724609,27.6959993896484,22.7636794815063,16.0293596572876,7.95799982976913,2.62255995228887,31.6380005598068,-2.69724660415202,14.0373263564408
"X.478",4780,29.0040004119873,27.013600479126,31.1432005004883,29.5504005889893,31.0120004348755,25.1592005500793,37.8792007598877,41.9936007385254,31.3912004089355,28.0896004180908,20.3984003677368,25.2152005310059,-14.0189596786499,-12.3135197296143,-9.63511979484558,-5.22007988417149,0.268159997224808,5.27559987539053,10.30031975317,9.56527980947494,4.53495989537239,-1.31831997001171,-7.6588798122406,-12.2895997238159,0.675439975947142,2.44463994380832,5.12047990305722,10.1223997592926,16.9431995925903,24.4440794067383,29.3096793365479,28.2992793731689,23.537519569397,16.7211996612549,8.30463979244232,2.47471994572878,29.8208005158106,-2.70917993855973,14.0331063549978
"X.477",4770,35.6376006088257,31.1336005859375,31.8968006057739,26.833600402832,25.7688003540039,20.1496002807617,30.4872004852295,35.1896005554199,28.3832004547119,28.0712004699707,22.7360003433228,30.4672005233765,-14.0639996871948,-11.9885597648621,-8.80119981765747,-4.25351990573108,0.840960001051426,5.14119984924793,9.7218397603035,9.03119980764389,4.40511988902092,-1.16695995788276,-7.5291198310852,-12.3635197219849,0.601039988562465,2.73959994997084,5.96647986745834,11.1744797401428,17.6891196289063,24.5615994338989,29.0297593688965,28.0641593475342,23.6617594985962,17.0537596130371,8.52967978668213,2.41711995188892,28.8962004725138,-2.58554661492755,14.2907130146312
"X.476",4760,31.7536003646851,30.8384006118774,37.6544005813599,34.5168005218506,31.3312005310059,21.216000377655,29.1464006195068,33.6320005340576,29.2728005371094,29.8680004882813,22.7280003433228,27.5928004302979,-13.5090397109985,-11.7945597229004,-9.08647977828979,-4.84399990189076,0.240479996562004,4.77911990654469,9.63223981356621,9.14079979658127,4.63567991006374,-0.793919979214668,-6.98223983383179,-11.6983997535706,0.629199989914894,2.33183996678889,5.09071989750862,10.0735197439194,16.7025597457886,23.9570394287109,28.8303992919922,28.1552792816162,23.897919418335,17.371039604187,8.87751977348328,2.70343994837999,29.9625338284175,-2.52335993811488,14.0517063408854
"X.475",4750,33.840800491333,32.1840005722046,37.3592005081177,33.5552005767822,31.6512005615234,22.8144004325867,31.9696006164551,36.1480006713867,29.9560004119873,29.449600479126,22.6808004379272,28.779200553894,-13.4023996734619,-11.9138397712708,-9.6018397769928,-5.55119988489151,-0.326159995436668,4.57047989296913,9.63583978533745,9.07671980428696,4.32199992161989,-1.20783996248245,-7.24487981414795,-11.6732797775269,1.0511999732852,2.57927992124856,4.87895990847051,9.62503976249695,16.4183195800781,24.0780794830322,29.1046392364502,28.177679397583,23.4427194213867,16.7239196929932,8.49423980808258,2.85391995230317,30.865667192777,-2.77636660433312,13.9523330114509
"X.474",4740,28.7768003082275,25.9176004180908,29.4432005310059,27.1888004074097,27.4248003692627,21.6344003257751,32.6976005935669,38.8344005889893,32.2016006774902,30.5872006530762,22.2408003463745,26.226400352478,-12.2449597358704,-10.6615997142792,-8.37823978996277,-4.44479988993704,0.610479993596673,5.31743987441063,10.2080797605515,9.52431982898712,4.73127990284562,-0.712559992924333,-6.54871985054016,-10.7216797599792,1.48527995979786,3.37439992702007,6.07159986758232,10.8595197467804,17.236399597168,24.2150394287109,28.7758392333984,27.7981593780518,23.3519994277954,16.9036796798706,8.777759806633,3.13295991891623,28.5978004643122,-1.9434132810918,14.3318863309771
"X.473",4730,27.9712003860474,27.6376004867554,35.8696006469727,34.7272006225586,32.1136005477905,21.1744003715515,30.1672005767822,36.1520008544922,32.7616004943848,32.9016004333496,23.2064003295898,25.6208004226685,-14.6638397140503,-12.1129596862793,-8.14815982627869,-3.28383990801871,1.41655997020006,4.8813598985672,8.96351979827881,8.40511983335018,4.33639990103245,-0.944559977054596,-7.51935983276367,-12.8539197540283,0.177679992988706,2.65295994544029,6.36087984037399,11.7947197437286,18.1411195144653,24.576319442749,28.7244792938232,27.7128794555664,23.4686393966675,16.9259195251465,8.27911978673935,1.96359995268285,30.0252671810786,-2.62697327475374,14.2315263241977
