"age","t2m","pre","npp"
21990,10.9468322753906,20.8170215785231,0.0185430905816801
21980,10.1879211425781,28.2204496443228,0.0250762300013653
21970,11.5606628417969,22.4880211987966,0.0200204699626527
21960,10.0639587402344,32.5163022012021,0.0288523888571807
21950,10.8456665039063,31.218387618992,0.0277126264030597
21940,10.8493591308594,33.8663413344875,0.0300368820410897
21930,10.9390197753906,22.8317716732818,0.0203241863979557
21920,10.6082702636719,27.4098421527924,0.0243624767784225
21910,10.6567932128906,30.392461565043,0.0269868283399809
21900,11.7759643554688,24.8468629479248,0.0221032006420219
21890,10.0317932128906,30.0160697065621,0.0266559347784684
21880,9.54763183593752,36.3568771376777,0.0322192347550668
21870,11.1064392089844,27.8443727211197,0.0247451358880332
21860,10.9851318359375,29.3995424613058,0.0261137546172899
21850,10.9144226074219,34.9521580574219,0.0309887819868094
21840,10.5685974121094,27.5393882930075,0.0244765700938499
21830,10.4744812011719,22.7523251055572,0.0202539985390524
21820,11.8539367675781,26.5360680373306,0.0235926736790795
21810,10.237451171875,34.675097890613,0.0307459576690977
21800,10.7976013183594,27.1161401428799,0.0241037724441563
21790,11.3976989746094,30.7563969045077,0.0273066924520703
21780,10.7374816894531,32.3037291764194,0.0286657853556793
21770,10.4015441894531,46.2926265640817,0.0408896670270696
21760,11.0179382324219,19.6971835578097,0.017552090888431
21750,11.5317932128906,31.0881287305165,0.0275981854053027
21740,10.553857421875,31.9583059535944,0.0283625054247787
21730,10.8341003417969,33.9030616828495,0.0300690847877281
21720,10.6914306640625,25.0972392564108,0.0223240779283209
21710,10.8196960449219,31.748893331951,0.0281786082566883
21700,10.2831359863281,33.4845513748405,0.0297020160782407
21690,11.2064453125,21.6523708274963,0.0192818521822231
21680,10.343896484375,38.319291343214,0.0339362746066688
21670,10.2590270996094,34.9409944305989,0.0309789986944031
21660,11.2092529296875,29.5149358521485,0.0262152496016879
21650,10.9789367675781,35.5960321826387,0.0315529210794766
21640,11.8216491699219,25.9182423747006,0.023048093766593
21630,10.9076477050781,27.6944193274176,0.0246130954476682
21620,10.1135498046875,31.0220116602977,0.0275400934225086
21610,11.5463195800781,25.8766681554334,0.0230114403125476
21600,10.5713745117188,29.4372518169439,0.0261469229747205
21590,11.404931640625,45.8520707866228,0.0405064274632129
21580,10.8120361328125,27.6394465458907,0.0245646862435959
21570,11.3588195800781,28.835316572895,0.0256173741223278
21560,10.7046752929688,26.8912818796707,0.0239056742794943
21550,10.7075439453125,25.6373974593771,0.0228004702478062
21540,10.2059875488281,37.3912654822561,0.0331245653158059
21530,10.5580383300781,30.6065374388709,0.0271749897817911
21520,10.3109680175781,27.02495809217,0.0240234454216403
21510,11.0796142578125,30.4330909784767,0.0270225415166766
21500,10.4343811035156,32.9870448013025,0.0292655282014742
21490,11.1830383300781,26.100440720711,0.0232087149978203
21480,9.79607543945315,34.8858669440233,0.0309306864203957
21470,10.3906494140625,29.3411302550339,0.0260623748265288
21460,11.8842712402344,26.1484821635349,0.023251063820868
21450,11.5718627929688,29.1207860641407,0.0258685405651078
21440,10.8806701660156,32.7004481732729,0.0290140168666386
21430,10.7114196777344,27.8190204312523,0.0247228130257441
21420,10.42421875,34.1017140158328,0.0302432838587933
21410,10.5037780761719,32.6607055512795,0.0289791357738111
21400,10.91201171875,27.2071205245084,0.0241839169558233
21390,11.0923095703125,27.4898108500565,0.0244329076230061
21380,11.1265808105469,24.8448048182581,0.0221013848463455
21370,10.6689697265625,26.599287150475,0.0236483853025404
21360,10.6517883300781,26.758920660086,0.0237890513633034
21350,11.36025390625,28.5185137840926,0.0253385837310986
21340,11.0311828613281,22.0824605321468,0.0196620526977648
21330,11.7332702636719,26.3026899460783,0.0233869897831585
21320,12.1770874023438,26.0449651477757,0.0231598112623275
21310,11.6770568847656,29.0642496565852,0.0258188015600886
