"","Year","Jan_Precip","Feb_Precip","Mar_Precip","Apr_Precip","May_Precip","Jun_Precip","Jul_Precip","Aug_Precip","Sep_Precip","Oct_Precip","Nov_Precip","Dec_Precip","Mo_Avg"
"1",5000,31.4595634220728,35.4797821097035,40.7726783179195,37.3868858462474,33.3131152788798,21.7065577549361,17.6568309166392,17.3196724373135,17.2409839161107,21.4666670619464,23.220218879929,28.3677601162853,27.1158930048319
"2",4990,37.320765630795,38.8032794754362,40.7398913597149,35.0546454549487,29.7912573840449,18.7273226793998,15.690164186264,16.8726778851181,18.8601096132414,25.8907108280828,29.3535525212522,35.5344269601374,28.5532336648696
"3",4980,37.4912576102168,37.9371592308003,34.9103829795546,30.4431698986741,32.2989077607139,28.4005469699375,25.3885250495431,21.3163937975149,16.1273226295013,17.303825440954,19.8065576996308,30.149180902158,27.6311024974333
"4",4970,40.8857930501302,37.4382519435361,30.6306016171565,24.5355195999146,24.1103828591727,19.4524592894023,17.5726779823095,16.9595631328437,15.210382813313,18.4453555365078,22.5918035898052,34.7606562682188,25.2161206401925
"5",4960,41.0071044411164,40.8218586509996,38.9775963559177,33.3147547049601,30.7256836200672,21.7207653844943,18.9349730040858,19.0721315034752,19.2404374789671,24.6650276288309,28.1901644070943,37.1928967022505,29.4886161568549
"6",4950,43.5568314693013,42.3918039759652,39.5103832098956,33.0830607544529,31.8491809355105,24.5737709849259,21.2519129625435,21.3672134628713,20.8366123548622,26.2245905985598,30.815301139498,40.5377056090558,31.3331972881202
"7",4940,36.1939896547078,38.5010936351422,38.0431699544354,31.5961754934384,27.1956288045873,17.7377052320157,14.4371587383291,14.6579237218763,14.9475412134264,19.6934430273504,23.1868856695832,31.330055122167,25.6267308555883
"8",4930,31.2530059553886,36.8863394221321,43.7120225260167,40.8256836823427,34.7967219170325,20.600546831316,15.3377051809446,14.6202188371961,14.8934429017572,19.037705270319,21.001639624111,26.7092901057884,26.6395268545288
"9",4920,49.5338806298261,46.7885254302311,39.169946013904,32.7814214268669,34.7650279412504,30.6218584284105,28.4775961344359,26.1103829686108,21.195082317936,23.4060113586363,27.0666670512632,41.268853218829,33.4321044100167
"10",4910,42.6994541772728,44.8032794389568,43.8398912825871,36.5306017932996,31.2295088038418,19.9289620603369,16.2601095587829,16.3480876990355,17.0737708123004,22.7404375050237,26.7584703737269,36.7442628464412,29.5797363626338
"11",4900,34.2081973435449,34.0579241090785,32.2617491477174,27.2710386547235,25.4377054256168,18.2437161578507,14.8639346211334,15.1163936938093,15.4114756453884,19.7442625832688,22.5896179376404,30.4245906944483,24.1358838345184
"12",4890,41.3841536683463,39.6169406182128,37.872678105297,33.2174869573833,32.0289623489797,23.7989074721362,20.6355196296192,21.8147544522103,22.6732244517634,28.7377052671922,31.5726781282269,39.7103833787428,31.0886162065092
"13",4880,39.0852466645788,38.0704923848637,34.4163941294769,29.763388547741,30.6857928226554,25.2928966537851,22.0136615331056,20.7316943231176,18.0967216309303,20.8355194532155,23.6404374727135,33.702186511514,28.0278693439748
"14",4870,28.1038256629569,31.0459021896612,35.2142081495191,32.9967219165114,30.2191262336377,19.9278691707413,15.7852461246845,15.3901642007255,15.277049419007,18.7825139689315,20.15792383392,25.0262299495968,23.9938984016577
"15",4860,39.1289624698827,41.9568312389603,43.5644815267761,38.7491809865816,34.6786891046118,22.3092900035811,17.8196724829127,17.933880086805,18.4912571203513,23.7519130029314,26.6393447599776,34.5950825592208,29.968215445216
"16",4850,38.6114760852251,37.8469953432761,37.0759570377121,32.2961754460152,29.3027326161744,19.6262298542294,16.7792353161046,18.6005467534717,21.4420768550185,29.5065577486174,32.3065578846332,37.9262300762322,29.2767309180592
"17",4840,41.446448842033,43.0196727012676,40.4912575320468,33.627869426227,29.7448092106262,19.4639347270538,15.5912571096681,15.3863390456132,15.3896177583705,19.9841533528,23.9311478776359,34.5590170250564,27.7196270506999
"18",4830,35.0109294151348,33.1721316999425,29.835519636915,25.642623338543,26.0907107533002,20.8103828798226,19.0196724302782,19.0595631990276,17.3825139321916,20.5715850676344,23.3901643466428,31.779781998181,25.1471315581345
"19",4820,45.0508204861417,43.8579242581227,38.7459023324518,30.5972682895556,26.3071042787833,17.4459019687658,14.722951113852,15.2032789819228,16.0743172233873,22.0180330875793,27.2513666205067,39.1601100775713,28.0362482265534
"20",4810,40.6054651124881,40.7918039228095,38.4836073234433,31.4475414922329,26.9601098331597,17.8114756945052,13.8584701923725,14.2595631229421,15.2360659140707,20.7978145841692,25.2972681795964,35.4530060356432,26.7501826172861
"21",4800,38.7950826290527,35.6147547654115,29.9721315597576,24.5333337861984,24.2327872364899,19.8114757332645,18.8060112038597,18.9103828101862,17.3972680712007,20.9147544493441,24.1939895843548,34.4792356126295,25.6384339534791
"22",4790,33.5475416131358,35.5765034357707,38.9475417684336,35.9792354927688,32.674864055029,22.0142080878299,18.2316942241022,18.3907106821654,19.1355194863074,24.3688528941629,25.945355691545,31.2737709212173,28.0071498627057
"23",4780,36.10710452554,37.6967221661344,37.4945361705426,32.4071044348628,30.1890715171731,21.563934846654,18.4251369231386,17.9480877639166,17.0437161674916,21.02568345122,23.8278692537318,31.7519132218074,27.1234067035177
"24",4770,47.5715856239444,46.3852465269996,39.5852464613367,29.6076507255679,24.7415304509668,16.4071040879833,13.7622953803161,14.2169401319952,14.9601095282966,20.9147544923376,26.9103829039902,40.2366127368531,27.941621587549
