"","Year","Jan_Precip","Feb_Precip","Mar_Precip","Apr_Precip","May_Precip","Jun_Precip","Jul_Precip","Aug_Precip","Sep_Precip","Oct_Precip","Nov_Precip","Dec_Precip","Mo_Avg"
"1",5000,26.1776005249023,25.9968004455566,33.7488004760742,33.1568006134033,32.0992003936768,22.6184004020691,31.8000005722046,36.5168006896973,30.7336004180908,29.2784004821777,20.6504003486633,23.3960004501343,28.8477338180542
"2",4990,29.029600479126,28.1856004867554,34.8576006164551,33.320800567627,32.940000579834,24.6008003692627,34.6128005523682,38.9040007476807,31.5544004211426,29.783200592041,21.5056003799438,25.4520003128052,30.3955338420868
"3",4980,27.2448003845215,26.3248004302979,32.231200630188,31.9120005187988,33.7768006820679,26.9824005508423,40.0024008331299,43.7728005218506,32.6888005828857,28.5368004455566,19.8880002937317,23.6584003677368,30.5849338534673
"4",4970,28.8760004806519,26.8872005004883,30.757600479126,28.6016005096436,28.5624004898071,21.9192003555298,32.1048006362915,36.1704006958008,28.2912005310059,26.3496005554199,19.7080004272461,24.7824003982544,27.7508671716054
"5",4960,29.6440004730225,28.6456004104614,35.5232005844116,33.6616005325317,31.5808006057739,21.828800453186,30.3512004470825,35.7152006988525,31.4808005523682,31.4416004943848,22.9704002761841,26.5560004196167,29.9499338289897
"6",4950,32.6952006988525,29.7584005050659,33.4128005599976,30.8792005233765,32.1040004501343,26.5568003616333,38.4920008087158,43.7128007965088,34.3152006072998,31.68800050354,23.3656003265381,28.8320004730225,32.1510005512238
"7",4940,29.3088004608154,28.6240004653931,34.4560007476807,32.62400050354,32.8464005050659,24.9584003448486,36.4256007385254,38.8064006500244,28.6848005218506,25.753600479126,19.1032003250122,24.3664004592896,29.6631338500977
"8",4930,26.6384005355835,28.2912004013062,37.9448008270264,37.8008006591797,36.6312006759644,25.3800004425049,32.7632005996704,33.7800005187988,25.7248003845215,23.5568002929687,17.3032002906799,21.5704004592896,28.9487338406245
"9",4920,34.2712005157471,30.6968005828857,33.6144007644653,30.6464004898071,31.50400050354,25.7632005195618,39.3464006347656,45.196000869751,35.0272006378174,32.3816005554199,24.1072004470825,30.1608004379272,32.7262672465642
"10",4910,32.422400604248,32.0720004272461,39.324000617981,36.8504007415771,35.4376005935669,25.4888003997803,35.3040005493164,38.5336007385254,30.6368004455566,29.0784004669189,21.7944003372192,27.2864005050659,32.0190672022502
"11",4900,27.204800453186,26.2568003463745,32.1352005386353,30.2264005584717,28.3904004974365,19.7248003997803,27.3712005004883,31.8208005905151,27.3352006072998,27.1448003234863,20.1432002868652,23.9192004394531,26.8060671284994
"12",4890,29.4472003097534,28.4200006103516,36.1112006149292,35.3224005050659,34.2112003936768,24.1152004051208,34.2024004669189,41.1552007446289,36.5200006256104,35.5968005981445,24.804000213623,27.2800004806519,32.2654671640396
"13",4880,30.4728005752563,29.6528005142212,36.5160007095337,35.5520004119873,36.2016005706787,27.7280004920959,38.5536005249023,42.6960007324219,33.4536005401611,30.4696006011963,21.8520003433228,26.3344004592896,32.4568672062556
"14",4870,25.0128003387451,24.9912005157471,32.5208005523682,31.9256006546021,30.964000617981,21.637600315094,30.4096006011963,34.7360005950928,29.1448006134033,27.6488004608154,19.468800239563,22.2216004180908,27.5568004935582
"15",4860,31.9312005157471,30.3536005020142,36.0288005981445,33.4840005569458,32.2960005569458,23.4024004211426,33.7680006484985,38.7904006195068,32.1320006408691,31.0312005310059,23.0816004638672,27.9968006591797,31.1913338928223
"16",4850,30.2912004928589,27.8456005096436,32.6504004058838,30.169600479126,29.1216005401611,21.3832002754211,31.4880004730225,38.090400680542,33.5176004638672,33.3352005462647,24.2976004104614,27.9448005447388,30.0112671518326
"17",4840,29.8752005310059,30.6304004745483,40.2440007629395,38.7088006362915,35.1400004730225,22.7432003974915,29.776800567627,33.8456005401611,29.4960006561279,29.4112004547119,21.6704004020691,25.6880003890991,30.6024671904246
"18",4830,28.4648004989624,25.5776004486084,28.0112005767822,26.3384004211426,29.0920005493164,26.0736004905701,39.7304008026123,43.3520007781982,30.6072004547119,26.3952005157471,19.3008003845215,24.5984005126953,28.9618005361557
"19",4820,32.8464004974365,31.3376006011963,36.3912007675171,32.7096003570557,30.3128005065918,21.1320004272461,30.6216006393433,34.5048005447388,28.3056004638672,27.9928004608154,21.7744002914429,27.7824005050659,29.6426005051931
"20",4810,29.2112006378174,28.9856004257202,36.9008006210327,35.8624006271362,34.376800491333,24.0360004234314,32.1200005950928,36.6320007324219,31.0784006347656,30.0584005584717,21.7408003234863,25.5248003616333,30.5439338693619
"21",4800,29.7392005767822,25.8888004455566,27.8232004394531,25.2912005004883,26.6472005615234,22.8360004348755,37.100000579834,43.1088006286621,33.0984004058838,30.0216006164551,21.9656003646851,26.8904004440308,29.2008671665192
"22",4790,27.2248004150391,28.5704004440308,40.6904008331299,41.3880011138916,37.3208005752563,22.7936004066467,30.8216004562378,36.2792005996704,33.356000579834,33.4776004333496,23.0800004425049,24.6536004180908,31.6380005598068
"23",4780,29.0040004119873,27.013600479126,31.1432005004883,29.5504005889893,31.0120004348755,25.1592005500793,37.8792007598877,41.9936007385254,31.3912004089355,28.0896004180908,20.3984003677368,25.2152005310059,29.8208005158106
"24",4770,35.6376006088257,31.1336005859375,31.8968006057739,26.833600402832,25.7688003540039,20.1496002807617,30.4872004852295,35.1896005554199,28.3832004547119,28.0712004699707,22.7360003433228,30.4672005233765,28.8962004725138
