"","x"
"640",80
"641",70
"642",90
"643",30
"644",40
"645",40
"646",50
"647",100
"648",100
"649",80
"650",80
"651",90
"652",90
"653",90
"654",100
"655",70
"656",50
"657",50
"658",80
"659",80
"660",70
"661",60
"662",80
"663",70
"664",70
"665",70
"666",80
"667",100
"668",60
"669",80
"670",90
"671",70
"672",50
"673",60
"674",60
"675",70
"676",60
"677",80
"678",90
"679",50
"680",90
"681",50
"682",60
"683",50
"684",60
"685",70
"686",60
"687",50
"688",60
"689",50
"690",70
"691",80
"692",70
"693",60
"694",70
"695",80
"696",100
"697",60
"698",70
"699",50
"700",70
"701",70
"702",60
"703",50
"704",60
"705",60
"706",80
"707",80
"708",100
"709",80
"710",60
"711",60
"712",70
"713",80
"714",80
"715",80
"716",60
"717",60
"718",70
"719",80
"720",100
"721",70
"722",50
"723",60
"724",70
"725",70
"726",60
"727",50
"728",100
"729",50
"730",50
"731",40
"732",40
"733",80
"734",80
"735",70
"736",30
"737",60
"738",70
"739",60
"740",30
"741",30
"742",70
"743",70
"744",70
"745",40
"746",40
"747",40
"748",60
"749",40
"750",40
"751",40
"752",60
"753",60
"754",70
"755",60
"756",80
"757",40
"758",60
"759",60
"760",60
"761",30
"762",40
"763",50
"764",80
"765",50
"766",70
"767",50
"768",40
"769",40
"770",40
"771",40
"772",40
"773",50
"774",60
"775",90
"776",70
"777",70
"778",80
"779",60
"780",50
"781",40
"782",40
"783",60
"784",70
"785",60
"786",40
"787",60
"788",40
"789",40
"790",40
"791",40
"792",40
"793",50
"794",40
"795",40
"796",40
"797",40
"798",80
"799",70
"800",70
"801",45
"802",45
"803",45
"804",50
"805",60
"806",90
"807",30
"808",30
"809",24
"810",25
"811",23
"812",26
"813",40
"814",60
"815",70
"816",60
"817",70
"818",90
"819",100
"820",70
"821",28
"822",31
"823",23
"824",24
"825",25
"826",23
"827",24
"828",25
"829",22
"830",21
"831",22
"832",27
"833",29
"834",27
"835",23
"836",26
"837",23
"838",24
"839",25
"840",35
"841",22
"842",24
"843",23
"844",37
"845",40
"846",40
"847",23
"848",23
"849",23
"850",24
"851",23
"852",24
"853",23
"854",40
"855",41
"856",26
"857",60
"858",23
"859",47
"860",24
"861",30
"862",70
"863",60
"864",80
"865",70
"866",80
"867",70
"868",30
"869",30
"870",30
"871",30
"872",30
"873",30
"874",30
"875",30
"876",30
"877",30
"878",30
"879",30
"880",30
"881",30
"882",30
"883",30
"884",30
"885",30
"886",30
"887",30
"888",20
"889",26
"890",25
"891",40
"892",90
"893",90
"894",90
"895",80
"896",90
"897",90
"898",90
"899",20
"900",20
"901",20
"902",20
"903",90
"904",90
"905",90
"906",60
"907",30
"908",30
"909",90
"910",90
"911",100
"912",80
"913",40
"914",40
"915",90
"916",40
"917",40
"918",90
"919",60
"920",40
"921",40
"922",40
"923",40
"924",40
"925",40
"926",40
"927",40
"928",80
"929",80
"930",20
"931",20
"932",20
"933",20
"934",30
"935",30
"936",30
"937",30
"938",30
"939",60
"940",60
"941",40
"942",40
"943",40
"944",60
"945",60
"946",60
"947",60
"948",50
"949",60
"950",50
"951",70
"952",50
"953",50
"954",50
"955",50
"956",70
"957",60
"958",70
"959",50
"960",60
"961",40
"962",60
"963",40
"964",30
"965",70
"966",40
"967",60
"968",70
"969",50
"970",60
"971",30
"972",50
"973",30
"974",60
"975",60
"976",30
"977",40
"978",50
"979",50
"980",40
"981",70
"982",50
"983",41
"984",48
"985",40
"986",80
"987",40
"988",50
"989",50
"990",50
"991",50
"992",50
"993",50
"994",50
"995",50
"996",50
"997",50
"998",60
"999",60
"1000",60
"1001",60
"1002",60
"1003",60
"1004",60
"1005",60
"1006",60
"1007",60
"1008",60
"1009",60
"1010",60
"1011",60
"1012",60
"1013",60
"1014",60
"1015",60
"1016",60
"1017",60
"1018",60
"1019",60
"1020",60
"1021",60
"1022",60
"1023",60
"1024",60
"1025",60
"1026",60
"1027",60
"1028",65
"1029",70
"1030",70
"1031",70
"1032",70
"1033",70
"1034",70
"1035",70
"1036",70
"1037",75
"1038",80
"1039",80
"1040",80
"1041",80
"1042",80
"1043",80
"1044",80
"1045",80
"1046",80
"1047",90
"1048",90
"1049",90
"1050",90
"1051",90
"1052",90
"1053",100
"1054",100
"1055",100
"1056",100
"1057",100
"1058",100
"1059",100
"1060",100
"1061",25
"1062",50
"1063",70
"1064",50
"1065",60
"1066",60
"1067",50
"1068",70
"1069",50
"1070",60
"1071",60
"1072",90
"1073",60
"1074",50
"1075",60
"1076",15
"1077",15
"1078",15
"1079",15
"1080",15
"1081",15
"1082",20
"1083",20
"1084",50
"1085",70
"1086",40
"1087",40
"1088",40
"1089",70
"1090",60
"1091",70
"1092",40
"1093",60
"1094",40
"1095",60
"1096",40
"1097",60
"1098",40
"1099",60
"1100",40
"1101",50
"1102",40
"1103",40
"1104",40
"1105",60
"1106",70
"1107",40
"1108",60
"1109",40
"1110",40
"1111",40
"1112",40
"1113",40
"1114",70
"1115",40
"1116",60
"1117",40
"1118",50
"1119",40
"1120",60
"1121",40
"1122",40
"1123",70
"1124",40
"1125",40
"1126",30
"1127",30
"1128",30
"1129",40
"1130",40
"1131",40
"1132",40
"1133",60
"1134",50
"1135",50
"1136",70
"1137",60
"1138",60
"1139",50
"1140",80
"1141",90
"1142",50
"1143",50
"1144",50
"1145",50
"1146",80
"1147",60
"1148",40
"1149",40
"1150",40
"1151",40
"1152",40
"1153",40
"1154",40
"1155",40
"1156",70
"1157",40
"1158",30
"1159",30
"1160",30
"1161",30
"1162",30
"1163",30
"1164",30
"1165",30
"1166",30
"1167",30
"1168",30
"1169",30
"1170",30
"1171",30
"1172",30
"1173",30
"1174",30
"1175",30
"1176",30
"1177",30
"1178",30
"1179",30
"1180",90
"1181",75
"1182",80
"1183",85
"1184",85
"1185",90
"1186",90
"1187",90
"1188",90
"1189",95
"1190",100
"1191",30
"1192",100
"1193",60
"1194",60
"1195",60
"1196",80
"1197",60
"1198",90
"1199",70
"1200",100
"1201",60
"1202",50
"1203",90
"1204",70
"1205",50
"1206",70
"1207",50
"1208",40
"1209",70
"1210",40
"1211",40
"1212",40
"1213",40
"1214",40
"1215",40
"1216",40
"1217",40
"1218",70
"1219",80
"1220",70
"1221",50
"1222",60
"1223",70
"1224",100
"1225",100
"1226",100
"1227",100
"1228",80
"1229",90
"1230",90
"1231",60
"1232",90
"1233",60
"1234",80
"1235",100
"1236",60
"1237",80
"1238",90
"1239",90
"1240",60
"1241",40
"1242",60
"1243",100
"1244",60
"1245",80
"1246",90
"1247",80
"1248",100
"1249",80
"1250",30
"1251",30
"1252",30
"1253",20
"1254",50
"1255",50
"1256",60
"1257",60
"1258",60
"1259",90
"1260",60
"1261",80
"1262",50
"1263",80
"1264",50
"1265",50
"1266",50
"1267",50
"1268",90
"1269",70
"1270",50
"1271",80
"1272",50
"1273",90
"1274",50
"1275",100
"1276",70
"1277",70
"1278",90
"1279",50
"1280",60
"1281",70
"1282",70
"1283",50
"1284",50
"1285",50
"1286",50
"1287",60
"1288",50
"1289",60
"1290",60
"1291",80
"1292",90
"1293",60
"1294",60
"1295",60
"1296",50
"1297",60
"1298",60
"1299",60
"1300",60
"1301",60
"1302",90
"1303",70
"1304",70
"1305",80
"1306",70
"1307",60
"1308",60
"1309",60
"1310",60
"1311",70
"1312",60
"1313",60
"1314",50
"1315",50
"1316",60
"1317",50
"1318",100
"1319",70
"1320",60
"1321",70
"1322",60
"1323",100
"1324",60
"1325",70
"1326",60
"1327",70
"1328",50
"1329",100
"1330",60
"1331",100
"1332",90
"1333",90
"1334",60
"1335",90
"1336",60
"1337",60
"1338",50
"1339",50
"1340",50
"1341",50
"1342",80
"1343",80
"1344",70
"1345",80
"1346",80
"1347",80
"1348",50
"1349",90
"1350",70
"1351",60
"1352",100
"1353",75
"1354",80
"1355",75
"1356",80
"1357",80
"1358",75
"1359",100
"1360",100
"1361",100
"1362",90
"1363",100
"1364",50
"1365",70
"1366",65
"1367",95
"1368",95
"1369",100
"1370",100
"1371",90
"1372",100
"1373",100
"1374",100
"1375",70
"1376",100
"1377",100
"1378",90
"1379",75
"1380",95
"1381",95
"1382",60
"1383",80
"1384",70
"1385",90
"1386",100
"1387",70
"1388",70
"1389",70
"1390",100
"1391",70
"1392",80
"1393",80
"1394",70
"1395",100
"1396",80
"1397",100
"1398",100
"1399",100
"1400",100
"1401",90
"1402",100
"1403",100
"1404",75
"1405",100
"1406",50
"1407",80
"1408",60
"1409",60
"1410",60
"1411",50
"1412",50
"1413",50
"1414",50
"1415",50
"1416",50
"1417",50
"1418",50
"1419",60
"1420",50
"1421",50
"1422",50
"1423",50
"1424",70
"1425",40
"1426",90
"1427",60
"1428",50
"1429",50
"1430",80
"1431",50
"1432",80
"1433",90
"1434",50
"1435",90
"1436",60
"1437",50
"1438",80
"1439",90
"1440",70
"1441",70
"1442",70
"1443",30
"1444",30
"1445",30
"1446",30
"1447",30
"1448",30
"1449",30
"1450",30
"1451",95
"1452",95
"1453",90
"1454",85
"1455",85
"1456",70
"1457",50
"1458",50
"1459",60
"1460",60
"1461",50
"1462",60
"1463",70
"1464",50
"1465",60
"1466",70
"1467",50
"1468",70
"1469",80
"1470",70
"1471",50
"1472",50
"1473",50
"1474",60
"1475",60
"1476",60
"1477",40
"1478",40
"1479",40
"1480",100
"1481",30
"1482",70
"1483",60
"1484",50
"1485",50
"1486",50
"1487",50
"1488",40
"1489",20
"1490",15
"1491",15
"1492",15
"1493",15
"1494",70
"1495",100
"1496",20
"1497",60
"1498",40
"1499",60
"1500",70
"1501",50
"1502",15
"1503",15
"1504",30
"1505",15
"1506",15
"1507",50
"1508",80
"1509",70
"1510",30
"1511",80
"1512",65
"1513",80
"1514",80
"1515",75
"1516",100
"1517",100
"1518",75
"1519",75
"1520",65
"1521",60
"1522",95
"1523",60
"1524",85
"1525",95
"1526",95
"1527",60
"1528",100
"1529",75
"1530",75
"1531",65
"1532",75
"1533",80
"1534",50
"1535",60
"1536",75
"1537",80
"1538",55
"1539",40
"1540",50
"1541",75
"1542",90
"1543",60
"1544",55
"1545",55
"1546",80
"1547",60
"1548",70
"1549",75
"1550",70
"1551",46
"1552",62
"1553",47
"1554",62
"1555",82
"1556",62
"1557",50
"1558",60
"1559",40
"1560",50
"1561",40
"1562",40
"1563",60
"1564",30
"1565",30
"1566",80
"1567",60
"1568",50
"1569",60
"1570",80
"1571",70
"1572",80
"1573",54
"1574",91
"1575",81
"1576",75
"1577",40
"1578",100
"1579",100
"1580",100
"1581",100
"1582",100
"1583",100
"1584",50
"1585",40
"1586",55
"1587",55
"1588",60
"1589",60
"1590",60
"1591",65
"1592",70
"1593",40
"1594",40
"1595",50
"1596",50
"1597",90
"1598",40
"1599",40
"1600",40
"1601",80
"1602",60
"1603",50
"1604",70
"1605",60
"1606",60
"1607",50
"1608",60
"1609",80
"1610",50
"1611",50
"1612",50
"1613",40
"1614",60
"1615",50
"1616",50
"1617",50
"1618",50
"1619",50
"1620",50
"1621",50
"1622",70
"1623",62
"1624",60
"1625",60
"1626",60
"1627",60
"1628",70
"1629",60
"1630",50
"1631",50
"1632",60
"1633",60
"1634",50
"1635",50
"1636",60
"1637",50
"1638",60
"1639",60
"1640",65
"1641",60
"1642",60
"1643",70
"1644",50
"1645",50
"1646",50
"1647",60
"1648",70
"1649",60
"1650",60
"1651",50
"1652",50
"1653",50
"1654",50
"1655",80
"1656",60
"1657",60
"1658",60
"1659",60
"1660",50
"1661",40
"1662",50
"1663",60
"1664",50
"1665",88
"1666",40
"1667",60
"1668",60
"1669",50
"1670",60
"1671",40
"1672",40
"1673",50
"1674",60
"1675",40
"1676",50
"1677",50
"1678",40
"1679",50
"1680",40
"1681",40
"1682",40
"1683",50
"1684",40
"1685",40
"1686",40
"1687",40
"1688",40
"1689",40
"1690",40
"1691",40
"1692",40
"1693",50
"1694",50
"1695",40
"1696",70
"1697",40
"1698",40
"1699",40
"1700",60
"1701",60
"1702",40
"1703",70
"1704",25
"1705",40
"1706",30
"1707",30
"1708",30
"1709",30
"1710",30
"1711",27
"1712",24
"1713",25
"1714",25
"1715",24
"1716",24
"1717",27
"1718",24
"1719",24
"1720",24
"1721",28
"1722",27
"1723",25
"1724",23
"1725",26
"1726",22
"1727",23
"1728",25
"1729",26
"1730",26
"1731",26
"1732",40
"1733",40
"1734",80
"1735",100
"1736",40
"1737",40
"1738",15
"1739",20
"1740",55
"1741",25
"1742",40
"1743",40
"1744",10
"1745",40
"1746",40
"1747",10
"1748",40
"1749",40
"1750",40
"1751",40
"1752",40
"1753",40
"1754",40
"1755",40
"1756",40
"1757",30
"1758",30
"1759",30
"1760",30
"1761",30
"1762",30
"1763",30
"1764",30
"1765",30
"1766",30
"1767",30
"1768",30
"1769",30
"1770",30
"1771",30
"1772",30
"1773",30
"1774",30
"1775",30
"1776",25
"1777",25
"1778",30
"1779",25
"1780",35
"1781",40
"1782",30
"1783",30
"1784",25
"1785",40
"1786",45
"1787",45
"1788",60
"1789",50
"1790",40
"1791",40
"1792",40
"1793",25
"1794",30
"1795",25
"1796",40
"1797",40
"1798",15
"1799",30
"1800",40
"1801",40
"1802",30
"1803",25
"1804",30
"1805",55
"1806",55
"1807",50
"1808",40
"1809",40
"1810",25
"1811",35
"1812",30
"1813",25
"1814",25
"1815",30
"1816",20
"1817",25
"1818",25
"1819",30
"1820",50
"1821",40
"1822",35
"1823",30
"1824",30
"1825",40
"1826",40
"1827",40
"1828",30
"1829",30
"1830",30
"1831",40
"1832",50
"1833",50
"1834",30
"1835",40
"1836",40
"1837",30
"1838",40
"1839",40
"1840",80
"1841",70
"1842",40
"1843",30
"1844",30
"1845",30
"1846",30
"1847",30
"1848",30
"1849",30
"1850",30
"1851",30
"1852",30
"1853",30
"1854",30
"1855",30
"1856",30
"1857",30
"1858",30
"1859",40
"1860",40
"1861",50
"1862",40
"1863",60
"1864",40
"1865",60
"1866",25
"1867",25
"1868",25
"1869",30
"1870",50
"1871",50
"1872",50
"1873",40
"1874",50
"1875",80
"1876",70
"1877",80
"1878",88
"1879",97
"1880",55
"1881",76
"1882",78
"1883",40
"1884",40
"1885",50
"1886",40
"1887",40
"1888",70
"1889",30
"1890",60
"1891",40
"1892",80
"1893",40
"1894",74
"1895",37
"1896",60
"1897",62
"1898",62
"1899",100
"1900",100
"1901",100
"1902",80
"1903",40
"1904",80
"1905",90
"1906",80
"1907",90
"1908",100
"1909",100
"1910",100
"1911",70
"1912",80
"1913",40
"1914",75
"1915",75
"1916",100
"1917",90
"1918",90
"1919",90
"1920",70
"1921",60
"1922",60
"1923",70
"1924",50
"1925",40
"1926",20
"1927",22
"1928",35
"1929",36
"1930",47
"1931",30
"1932",44
"1933",34
"1934",34
"1935",100
"1936",80
"1937",50
"1938",30
"1939",30
"1940",30
"1941",30
"1942",30
"1943",40
"1944",40
"1945",40
"1946",40
"1947",40
"1948",24
"1949",55
"1950",55
"1951",40
"1952",40
"1953",70
"1954",60
"1955",80
"1956",40
"1957",40
"1958",40
"1959",40
"1960",40
"1961",40
"1962",40
"1963",40
"1964",90
"1965",80
"1966",90
"1967",30
"1968",30
"1969",30
"1970",30
"1971",30
"1972",30
"1973",30
"1974",30
"1975",30
"1976",30
"1977",60
"1978",100
"1979",80
"1980",70
"1981",90
"1982",50
"1983",70
"1984",80
"1985",60
"1986",30
"1987",30
"1988",30
"1989",30
"1990",70
"1991",60
"1992",60
"1993",70
"1994",70
"1995",60
"1996",70
"1997",100
"1998",50
"1999",40
"2000",60
"2001",60
"2002",60
"2003",60
"2004",60
"2005",60
"2006",50
"2007",50
"2008",40
"2009",40
"2010",40
"2011",40
"2012",40
"2013",40
"2014",70
"2015",40
"2016",40
"2017",80
"2018",70
"2019",80
"2020",70
"2021",60
"2022",50
"2023",90
"2024",40
"2025",90
"2026",70
"2027",90
"2028",30
"2029",60
"2030",50
"2031",60
"2032",60
"2033",70
"2034",50
"2035",50
"2036",50
"2037",50
"2038",60
"2039",50
"2040",50
"2041",70
"2042",40
"2043",50
"2044",70
"2045",40
"2046",40
"2047",50
"2048",50
"2049",40
"2050",40
"2051",40
"2052",70
"2053",70
"2054",50
"2055",60
"2056",70
"2057",80
"2058",50
"2059",60
"2060",80
"2061",30
"2062",60
"2063",70
"2064",60
"2065",100
"2066",70
"2067",25
"2068",90
"2069",40
"2070",40
"2071",40
"2072",40
"2073",70
"2074",40
"2075",40
"2076",40
"2077",40
"2078",40
"2079",40
"2080",40
"2081",40
"2082",40
"2083",40
"2084",40
"2085",40
"2086",40
"2087",40
"2088",40
"2089",40
"2090",50
"2091",40
"2092",40
"2093",40
"2094",40
"2095",40
"2096",40
"2097",40
"2098",40
"2099",40
"2100",40
"2101",40
"2102",40
"2103",40
"2104",50
"2105",50
"2106",50
"2107",40
"2108",50
"2109",15
"2110",35
"2111",30
"2112",30
"2113",70
"2114",30
"2115",30
"2116",30
"2117",30
"2118",30
"2119",30
"2120",30
"2121",30
"2122",30
"2123",30
"2124",30
"2125",30
"2126",30
"2127",30
"2128",60
"2129",90
"2130",65
"2131",60
"2132",80
"2133",60
"2134",100
"2135",40
"2136",40
"2137",40
"2138",100
"2139",80
"2140",80
"2141",80
"2142",100
"2143",75
"2144",60
"2145",70
"2146",70
"2147",80
"2148",50
"2149",100
"2150",70
"2151",70
"2152",50
"2153",40
"2154",40
"2155",40
"2156",40
"2157",40
"2158",40
"2159",40
"2160",70
"2161",70
"2162",40
"2163",40
"2164",40
"2165",100
"2166",70
"2167",60
"2168",70
"2169",40
"2170",70
"2171",80
"2172",60
"2173",70
"2174",100
"2175",90
"2176",60
"2177",50
"2178",50
"2179",60
"2180",100
"2181",60
"2182",80
"2183",60
"2184",60
"2185",70
"2186",80
"2187",50
"2188",50
"2189",70
"2190",70
"2191",70
"2192",70
"2193",60
"2194",70
"2195",50
"2196",50
"2197",50
"2198",80
"2199",50
"2200",50
"2201",80
"2202",50
"2203",40
"2204",40
"2205",40
"2206",40
"2207",40
"2208",50
"2209",40
"2210",40
"2211",40
"2212",40
"2213",40
"2214",40
"2215",70
"2216",40
"2217",40
"2218",50
"2219",40
"2220",40
"2221",40
"2222",40
"2223",40
"2224",40
"2225",40
"2226",40
"2227",70
"2228",40
"2229",60
"2230",50
"2231",40
"2232",40
"2233",40
"2234",40
"2235",40
"2236",60
"2237",60
"2238",40
"2239",40
"2240",40
"2241",40
"2242",40
"2243",70
"2244",40
"2245",30
"2246",40
"2247",40
"2248",40
"2249",40
"2250",45
"2251",90
"2252",100
"2253",90
"2254",70
"2255",70
"2256",80
"2257",100
"2258",40
"2259",60
"2260",40
"2261",40
"2262",50
"2263",40
"2264",40
"2265",60
"2266",30
"2267",40
"2268",40
"2269",50
"2270",40
"2271",50
"2272",60
"2273",40
"2274",40
"2275",50
"2276",50
"2277",40
"2278",50
"2279",60
"2280",40
"2281",60
"2282",35
"2283",40
"2284",40
"2285",40
"2286",40
"2287",100
"2288",85
"2289",35
"2290",100
"2291",80
"2292",90
"2293",80
"2294",100
"2295",80
"2296",80
"2297",40
"2298",80
"2299",80
"2300",80
"2301",100
"2302",80
"2303",80
"2304",80
"2305",80
"2306",100
"2307",90
"2308",90
"2309",80
"2310",55
"2311",90
"2312",38
"2313",100
"2314",40
"2315",80
"2316",40
"2317",80
"2318",35
"2319",40
"2320",40
"2321",40
"2322",20
"2323",70
"2324",30
"2325",35
"2326",30
"2327",36
"2328",40
"2329",36
"2330",45
"2331",40
"2332",40
"2333",36
"2334",40
"2335",40
"2336",40
"2337",36
"2338",40
"2339",40
"2340",35
"2341",39
"2342",37
"2343",37
"2344",15
"2345",37
"2346",37
"2347",36
"2348",30
"2349",45
"2350",100
"2351",80
"2352",24
"2353",30
"2354",100
"2355",30
"2356",44
"2357",30
"2358",37
"2359",30
"2360",30
"2361",100
"2362",60
"2363",100
"2364",40
"2365",85
"2366",40
"2367",50
"2368",80
"2369",60
"2370",90
"2371",80
"2372",90
"2373",100
"2374",90
"2375",40
"2376",40
"2377",50
"2378",60
"2379",60
"2380",70
"2381",80
"2382",60
"2383",70
"2384",70
"2385",50
"2386",70
"2387",60
"2388",90
"2389",50
"2390",80
"2391",100
"2392",90
"2393",100
"2394",100
"2395",80
"2396",34
"2397",25
"2398",41
"2399",40
"2400",20
"2401",20
"2402",40
"2403",40
"2404",37
"2405",40
"2406",50
"2407",27
"2408",32
"2409",40
"2410",40
"2411",15
"2412",80
"2413",40
"2414",40
"2415",40
"2416",55
"2417",50
"2418",40
"2419",25
"2420",40
"2421",50
"2422",40
"2423",37
"2424",14
"2425",37
"2426",35
"2427",15
"2428",25
"2429",40
"2430",40
"2431",40
"2432",35
"2433",40
"2434",40
"2435",40
"2436",40
"2437",40
"2438",50
"2439",50
"2440",40
"2441",40
"2442",40
"2443",37
"2444",23
"2445",40
"2446",30
"2447",30
"2448",24
"2449",25
"2450",70
"2451",70
"2452",90
"2453",30
"2454",30
"2455",30
"2456",70
"2457",75
"2458",80
"2459",80
"2460",85
"2461",20
"2462",20
"2463",20
"2464",20
"2465",20
"2466",20
"2467",20
"2468",30
"2469",30
"2470",30
"2471",70
"2472",60
"2473",50
"2474",60
"2475",50
"2476",60
"2477",60
"2478",70
"2479",30
"2480",30
"2481",30
"2482",30
"2483",30
"2484",30
"2485",30
"2486",30
"2487",30
"2488",30
"2489",30
"2490",30
"2491",30
"2492",30
"2493",30
"2494",30
"2495",30
"2496",30
"2497",30
"2498",30
